START  Speed JOB
FileNameDateFormat=yyyyMMdd'_'HHmmssz
HLL_direct=false
HLL_tgtHllType=HLL8
HLL_useComposite=false
JOBNUM=1
JobType=Speed
OutputFileName=HLL20170921_154931PST.txt
ReadableDateFormat=yyyy/MM/dd HH:mm:ss z
Sketch=HLL
TimeZone=PST
TimeZoneOffset=-28800000
Trials_UPPO=16
Trials_lgMaxBpU=19
Trials_lgMaxT=16
Trials_lgMaxU=20
Trials_lgMinBpU=4
Trials_lgMinT=4
Trials_lgMinU=0
lgK=21

InU	Trials	nS/u
1	65536	130.5558624267578
2	65536	56.404273986816406
3	65536	21.109990437826436
4	65536	17.007003784179688
5	65536	16.122781372068008
6	65536	17.08287302653253
7	65536	15.474951607828507
8	65536	44.05992317199707
9	65536	48.41876220702396
10	65536	19.360081481932852
11	65536	19.319957386365118
12	65536	18.094465891520212
13	65536	19.936184222881586
14	65536	19.81822313581172
15	65536	19.181931559244692
16	65536	18.669381141662598
17	62433	19.08452920354171
18	59642	18.872738823126248
19	57118	19.554237672334562
20	54821	22.609068605097026
21	52723	22.90325447554757
22	50796	25.394448560731362
23	49022	23.864752826149164
24	47381	25.987528404494114
25	45858	38.77633128352743
26	44442	29.09316464328599
27	43120	30.239906720263836
28	41884	32.15408969671321
29	40724	26.97515402253698
31	38608	28.692758813149254
32	37640	31.6553741033475
33	36725	26.962502630113267
35	35036	26.851797334986397
36	34255	27.61687426004308
38	32805	29.050703920294588
40	31486	33.31757368354169
41	30870	32.280593677656796
43	29716	33.77301242459617
45	28655	31.995912289885204
47	27675	31.76356801014821
49	26768	46.283957695451605
52	25525	37.62364800723317
54	24766	32.38828920174291
56	24056	30.988453281628672
59	23072	31.225022185523763
61	22465	31.144854108211973
64	21618	34.322985330511614
67	20840	30.643042226487434
70	20123	31.92878866400218
73	19458	36.65181697988094
76	18841	30.453572695605068
79	18267	29.765530010886227
83	17559	28.709910889071505
87	16910	27.443906550568535
91	16313	29.80625712790259
95	15761	29.12578082475403
99	15249	32.79456642627987
103	14774	33.647312058312835
108	14224	33.104634056159604
112	13816	33.79347831706522
117	13342	32.051556872648085
123	12818	31.978177283723273
128	12416	41.02691587467783
134	11969	38.7367428044837
140	11557	39.666846932594936
146	11176	39.02134895225589
152	10821	40.01011860466278
159	10438	34.38946049810725
166	10085	36.40846957487869
173	9757	35.15055087173233
181	9410	33.45462509027079
189	9090	33.35899674623547
197	8794	43.600121910531925
206	8485	35.28469429204004
215	8200	34.67249290981288
225	7907	34.84700532580123
235	7636	32.812987751189866
245	7386	32.947312344921734
256	7131	32.408281732050206
267	6895	31.67454948899085
279	6657	31.81363999304363
292	6419	30.29113110265536
304	6215	31.268052144641523
318	5995	31.54108245340718
332	5792	31.169624804466427
347	5591	28.77012510328199
362	5405	31.400993044091592
378	5221	29.23235529288005
395	5040	36.696656620454014
412	4873	33.31961133170888
431	4701	34.52425089986782
450	4541	34.2285590545401
470	4386	33.67485859262073
490	4242	31.672329186271416
512	4096	31.658324718475342
535	3954	32.97806645583077
558	3823	32.68579536984698
583	3691	30.766981759441776
609	3565	31.322846871495212
636	3443	30.71868909116478
664	3326	29.677932264234354
693	3215	29.93768792120267
724	3104	28.58531986885573
756	2998	28.911807607187892
790	2895	37.18524037515574
825	2796	35.35330688862867
861	2702	34.59718185264751
899	2610	34.26634617433581
939	2521	33.94994379480734
981	2434	33.079256908375015
1024	2352	31.900785485092474
1069	2272	33.39580890393818
1117	2194	33.083899362548955
1166	2120	32.99723534742231
1218	2047	31.041670978315015
1272	1977	30.437159011016615
1328	1910	31.477477449063283
1387	1845	30.679593515473695
1448	1783	31.539867006689914
1512	1722	30.430542497034967
1579	1663	36.23983301578869
1649	1606	34.9054648011135
1722	1552	35.06221787181053
1798	1499	33.29068136636881
1878	1448	35.20213698597891
1961	1398	33.58472984280742
2048	1351	33.64686675957624
2139	1304	32.01015216961077
2233	1260	31.021139615720937
2332	1217	31.626488525195537
2435	1176	30.42202852393522
2543	1136	31.098426777732822
2656	1097	31.014225887140196
2774	1059	31.10011110861482
2896	1024	31.461856736662646
3025	988	30.182450229196583
3158	955	36.2759444144183
3298	922	35.223697330532275
3444	891	35.72307277185329
3597	861	34.33514475380666
3756	831	34.21407512921161
3922	803	33.07378119913655
4096	776	33.33390383376289
4277	749	32.124346295411264
4467	724	31.95420468333154
4664	699	31.73764622089385
4871	675	31.549619897047513
5087	652	31.90410658227817
5312	630	29.636136211512714
5547	608	30.626862374635863
5793	588	29.308370353147296
6049	568	29.75585942502429
6317	548	37.84326703865946
6597	530	36.469233013290754
6889	511	36.404867909617366
7194	494	35.08358686219624
7512	477	34.603715257544614
7845	461	35.3585435823417
8192	445	33.93703366397472
8555	430	32.00470770527234
8933	415	32.3151420413547
9329	401	33.241158546446634
9742	388	31.312838236819182
10173	374	32.21914304983674
10624	362	29.91142409763366
11094	349	30.72800600030065
11585	337	30.003886894569742
12098	326	30.6806750494682
12634	315	37.15135198293343
13193	304	35.66125527093716
13777	294	36.30332917082055
14387	284	35.702439213021925
15024	274	34.8009751307883
15689	265	33.79906291753505
16384	256	34.28994941711426
17109	247	32.294034699638395
17867	238	32.385251341259625
18658	230	32.091548560589466
19484	222	32.06115921402823
20347	215	31.76580719859278
21247	207	31.547280445844134
22188	200	30.952269469983765
23170	194	30.825165406742627
24196	187	31.007873533699374
25268	181	39.0790716885157
26386	174	37.9800231488137
27554	168	36.81761160768292
28774	163	36.48235711261147
30048	157	35.41400298800052
31379	152	34.978938940055464
32768	147	35.6163217972736
34219	142	34.12922748213763
35734	137	33.574545945528584
37316	132	33.06029422751472
38968	127	33.641786638582516
40693	123	33.54606503305836
42495	119	32.82092010824803
44376	115	31.655220800902956
46341	111	32.26649100061413
48393	107	31.259958621496775
50535	103	49.536267183851244
52773	100	41.877017035226324
55109	97	36.302060041084445
57549	93	37.7450025289342
60097	90	36.75082560970874
62757	87	37.10749142056598
65536	84	41.845904214041575
68438	81	34.2676173694565
71468	78	49.96993597995446
74632	76	34.30591805546936
77936	73	35.71620356569351
81386	71	34.61861991005823
84990	68	34.816809590055584
88752	66	35.57107838116153
92682	63	33.93228612737256
96785	61	34.24647109488075
101070	59	40.72483729182493
105545	57	40.19133004713215
110218	55	38.597400358628086
115098	53	39.293234772533474
120194	51	39.60585925303113
125515	50	38.353639485320485
131072	48	44.11318143208822
136875	46	37.54439245582688
142935	45	37.4481536673624
149263	43	36.52883680109511
155872	42	36.97805097711431
162773	40	37.01790929699643
169979	39	36.86220786549651
177505	38	35.892566406580094
185364	36	37.20584858260864
193571	35	36.29652168971592
202141	34	49.70834525230932
211090	33	44.09382799523973
220436	31	43.96447012050605
230195	30	44.607529268663505
240387	29	44.80305464335311
251030	28	55.01994539639542
262144	27	43.356113575122976
273750	26	44.62046982788901
285870	25	40.656497009130014
298527	25	41.77623437745999
311744	24	38.98284075502121
325546	23	38.83322680104783
339959	22	39.27841886815763
355010	21	38.78563608536849
370728	21	37.9004444023137
387141	20	38.38742951534455
404281	19	37.82760375502239
422180	19	34.26265062794368
440872	18	33.344934962226375
460391	17	31.63328766456441
480774	17	30.699403706621116
502060	16	30.36104511910927
524288	16	31.014846086502075
547500	16	30.16675319634703
571740	16	29.076502977752124
597053	16	28.86856924762123
623487	16	28.71210556515212
651091	16	28.53906855954083
679917	16	28.50069070930716
710020	16	28.48991075955607
741455	16	27.753808980315725
774282	16	27.559899687710683
808563	16	28.47478675131066
844361	16	29.879987721484056
881744	16	27.523792336551196
920782	16	27.078474668814117
961548	16	26.427002864131588
1004120	16	26.936615083356568
1048576	16	27.447662711143494
Total Job Time        : 0:00:35.969
END  Speed JOB


