START Speed JOB
FileNameDateFormat=yyyyMMdd'_'HHmmssz
HLL_direct=false
HLL_tgtHllType=HLL8
HLL_useComposite=false
JOBNUM=1
JobType=Speed
LgK=21
OutputFileName=HLL20170921_162117PST.txt
ReadableDateFormat=yyyy/MM/dd HH:mm:ss z
Sketch=HLL
TimeZone=PST
TimeZoneOffset=-28800000
Trials_UPPO=16
Trials_lgMaxBpU=19
Trials_lgMaxT=20
Trials_lgMaxU=22
Trials_lgMinBpU=4
Trials_lgMinT=4
Trials_lgMinU=0

InU	Trials	nS/u
1	1048576	53.2520055770874
2	1048576	26.838733673095703
3	1048576	20.204951922065725
4	1048576	17.548547506332397
5	1048576	15.313502120880505
6	1048576	14.901031494193015
7	1048576	14.039246967933458
8	1048576	23.861457109451294
9	1048576	28.502167066028917
10	1048576	20.294878864273528
11	1048576	21.631013610152657
12	1048576	20.327784538270354
13	1048576	22.807778798616244
14	1048576	23.07075629915868
15	1048576	18.29336191813317
16	1048576	17.98925894498825
17	982914	18.034053305361013
18	924777	19.041447169304853
19	872952	18.37821908336538
20	826474	18.666942033264657
21	784562	19.034767897797025
22	746581	19.640447404415077
23	712007	22.798807486077596
24	680407	20.678167993569645
25	651416	28.886106144152095
26	624726	28.370491284917378
27	600076	27.23764847810469
28	577243	27.64867723447046
29	556036	26.976852590292893
31	517855	25.937035868490653
32	500611	26.503068063326616
33	484447	26.420293279104236
35	454976	25.923586299056804
36	441507	25.697755515641877
38	416765	26.047079352430654
40	394575	25.5145625039601
41	384318	25.089566325857366
43	365281	25.71102979464706
45	347990	25.056048673173546
47	332218	25.899684877514723
49	317774	31.99394974968086
52	298257	32.14825553130359
54	286488	31.5234188595054
56	275588	31.355136692142658
59	260666	29.995879459746334
61	251560	29.69992577464082
64	239002	29.541538551455638
67	227604	29.554515541131984
70	217215	28.941525151183352
73	207706	29.12924135787773
76	198972	29.471558812295513
79	190923	28.254464570743707
83	181124	27.638856678896797
87	172255	28.183577207941752
91	164191	27.293598898254473
95	156827	27.53007192303366
99	150077	34.34221564243517
103	143869	32.77588950087922
108	136775	32.804131074960694
112	131571	31.81112553841119
117	125582	31.94011363433752
123	119059	31.96533228008689
128	114104	31.156563789941632
134	108663	30.979551182548413
140	103703	34.982563391884405
146	99163	29.3724975994284
152	94993	31.942734353833586
159	90539	30.43685722563985
166	86472	29.060739488623515
173	82745	29.388450273962505
181	78850	29.139954736071626
189	75295	28.54357298681599
197	72038	34.30624573071445
206	68686	33.611876927478086
215	65623	33.66472000564143
225	62517	34.36168821636106
235	59683	32.601813767133294
245	57088	32.40114538528424
256	54476	31.7427762770532
267	52085	31.433355948339816
279	49699	31.07049232076046
292	47342	30.06336940236089
304	45351	29.93338908269879
318	43225	30.297998261255444
332	41283	29.91524604339868
347	39383	29.96025040719988
362	37644	29.907156225435006
378	35947	29.02838055379298
395	34299	34.70132560974408
412	32792	34.800703448271655
431	31252	33.61785306065213
450	29847	34.378800028292666
470	28494	39.933113727563544
490	27255	33.40709070419561
512	26007	31.224773768841082
535	24817	32.24855173514984
558	23727	30.563416629996173
583	22643	30.749278778541086
609	21614	30.702182402301762
636	20636	30.51135083587195
664	19709	35.29497349079702
693	18831	31.22337211758913
724	17972	30.668701190187974
756	17162	29.320557399175915
790	16375	36.107999226978535
825	15635	35.108211297497064
861	14939	33.78922399018114
899	14266	33.364652096422745
939	13619	33.858339939011195
981	12998	32.22727600686317
1024	12416	31.70255130099267
1069	11860	32.734678278071044
1117	11317	31.148215236835934
1166	10810	31.612566266226494
1218	10318	30.583334924762056
1272	9852	30.629492351583313
1328	9409	30.359318398047492
1387	8983	30.294092558554823
1448	8580	30.41584075454934
1512	8193	29.340643338583632
1579	7823	36.21307989294803
1649	7469	34.46534099586556
1722	7132	33.6588587009979
1798	6811	33.526695512673435
1878	6502	33.20370794404532
1961	6208	32.476853902385166
2048	5928	31.273819443346195
2139	5659	31.508616847428478
2233	5405	31.47711631887844
2332	5161	31.540381532824963
2435	4928	30.156914267713848
2543	4705	30.9526152305739
2656	4492	31.47326471960865
2774	4288	30.24202818818667
2896	4096	28.955579557471456
3025	3910	30.627931855171088
3158	3734	36.423856247284135
3298	3566	41.903307278124075
3444	3405	34.829496487538826
3597	3250	33.260111802570435
3756	3104	33.16135694915629
3922	2964	32.60790492195654
4096	2830	32.554776529372795
4277	2702	31.823510654738776
4467	2580	31.79793915067077
4664	2464	30.731126506426694
4871	2352	30.905447448944688
5087	2246	30.33997954732792
5312	2144	30.636010869504137
5547	2048	29.746978061057774
5793	1955	28.886817099568503
6049	1867	29.597949985845823
6317	1782	37.09564343414793
6597	1702	35.85403658002865
6889	1625	34.74123670958156
7194	1552	33.66983135287419
7512	1482	33.28516793283691
7845	1415	32.18252160341601
8192	1351	32.238028164178154
8555	1290	31.9299405125975
8933	1231	31.2812087056973
9329	1176	31.22398318315427
9742	1123	31.46565312031714
10173	1072	30.606276436308548
10624	1023	30.40924879871392
11094	977	29.67851895193935
11585	933	30.168395303643653
12098	891	29.39789001493412
12634	851	36.664762814311
13193	812	35.939886019567744
13777	776	35.16652408503941
14387	741	34.94534755332331
15024	707	34.507741032546924
15689	675	44.29097792036404
16384	645	33.599551746457124
17109	615	31.88363629278937
17867	588	31.920934215741465
18658	561	31.599952441632066
19484	536	31.395915266870347
20347	511	31.03385411832687
21247	488	31.396824199674843
22188	466	31.481026553424467
23170	445	30.378941385848638
24196	425	30.29518228584211
25268	406	36.73151061994726
26386	388	36.86312895545203
27554	370	36.472771697443235
28774	353	34.782391583052934
30048	337	35.1986043892581
31379	322	33.642495703202954
32768	307	34.05576495937882
34219	294	33.42711363162408
35734	280	34.37224711959
37316	268	32.53926489857499
38968	255	32.34277728130874
40693	244	32.77935817293263
42495	233	31.54677030925628
44376	222	32.018577122281854
46341	212	31.226127948965683
48393	203	30.700659491627416
50535	194	38.01254769839012
52773	185	38.57719216573179
55109	176	37.58023674981319
